D,R,P,compensation_coeff_U,compensation_coeff_R,v_pd,U_bg,gap_bd,gap_gd,f_bd
10.0,65.0727672510996,25.665257771115996,1.1188950552534553,1.0316647566015544,42.986200769263256,24.875505441260806,0.0926859455251575,0.16489044542310846,0.1722381099455509
10.0,50.431748704851955,37.870545360346185,1.1142206943598008,0.988664349884848,16.35779173709782,21.33716701642962,0.01699260605793319,0.12193240825843997,0.014262758146813407
10.0,96.89129727304382,34.687577280217816,1.1530485217523547,0.9993831415461732,45.97630112530353,23.383864894701105,0.06766200166069779,0.22300156799488707,0.07445088462229559
10.0,99.5263206414765,30.87036970323816,1.127165097286025,1.0390531355576695,36.65667010369938,24.229793244365396,0.1592042902147833,0.11410990884250286,0.19201245908422665
10.0,66.29711548210749,37.32121473222418,1.1194450474772697,0.970640774970653,47.568472478061686,21.25019324733174,0.04962884447991546,0.06413473051922529,0.11136177368256772
10.0,94.18967607640376,26.877547388868894,1.0591499193758644,1.0116441223556167,22.192955194990542,24.074943659625614,0.2571959761086822,0.024264240779351395,0.1602608975715467
10.0,57.32630315963781,25.958960392491548,1.098966580058401,0.9575238402620673,45.55639862438029,23.29488581283098,0.08230811354165789,0.15229343282195706,0.1420312749628247
10.0,62.806158949527685,29.019290296655036,1.1609873123448784,1.0107677330927265,47.62403315700963,24.92974202058193,0.21231847127381795,0.12783963556946423,0.04211727241316511
10.0,63.0376160869746,34.893495824112044,1.1499320254729708,1.034152839109842,32.04537853204479,21.169560456468105,0.15516345895052752,0.11241220702948004,0.027232278199746163
10.0,97.54764356757266,35.27151657948897,1.106934259338041,0.9978630614152318,24.129625580837068,20.675544026730066,0.290114076442004,0.022479867012477582,0.1567841459122788
10.0,71.50710594293606,23.074934321751464,1.0654876908907618,1.0272585682270252,39.67386594235133,23.79713381590819,0.02629426341185861,0.060317499880999874,0.19608441347938332
10.0,52.42224906642406,35.43520609444353,1.1445175050266236,0.9559912873742831,28.032195793206917,22.690652239273774,0.21557318490665678,0.18255758017441126,0.03714197507926291
10.0,78.27841260388024,30.70161910859658,1.0961198297379904,0.9667595228184904,19.470221542813267,22.771554606348495,0.20379288727907102,0.09611112537733958,0.1801963326595325
10.0,87.09861542527182,24.879121021971343,1.1379559487393647,0.9959898379239048,14.605464550801125,21.720564833792274,0.09657082809580599,0.046944780560912704,0.1053677574111997
10.0,93.44219157775433,37.1115367501543,1.0977182570535875,0.9739696402585372,41.84005449176812,23.33897140069744,0.2586444819207344,0.29723454330855537,0.14640682137588737
10.0,72.72289316869279,38.80369814009904,1.0570431979583272,1.023614231922561,29.24177931587304,24.35726476687168,0.17794427049950023,0.26943292422152354,0.14106898260981304
