D,R,compensation_coeff_A,compensation_coeff_B,v_pd,A_bg,gap_bd,gap_gd,f_bd
25.0,197.28676627086392,1.2025254105326522,0.9953672115177025,43.563737993764505,32.16281709174434,0.09882286377940327,0.2711599482917956,0.004357094778601745
25.0,140.19548555757356,1.2322723247270437,0.9878260431990015,34.8101401833923,34.944892517366235,0.02139625103423629,0.00015351795175937976,0.017950288874459826
25.0,191.96141545218967,1.1012313277857062,0.9561921137052533,47.82007353526299,36.0519063702874,0.18837150160593513,0.13207190340615468,0.06551172359810993
25.0,200.72730195674873,1.1787600135701577,1.0148217970477555,38.56079403564336,39.533526523884476,0.1661241117762164,0.08008152822253575,0.06643856071402478
25.0,122.26212582266378,1.257270644276315,1.0436285863946984,19.479268098815602,35.886888871401304,0.07975926852746656,0.2996988992296564,0.05386789811950021
25.0,173.3796305238261,1.2283451939993772,1.0114179486024786,14.367723878551507,42.40769333493911,0.2913480361194163,0.16398163875735275,0.09318300600172552
25.0,175.05488712800275,1.147737429187544,0.9629253614406235,33.08170117636376,33.10716825331917,0.13623922442080055,0.015172776864269811,0.10252232710311951
25.0,182.89294249125894,1.1531080365521444,1.0366593301063003,25.794524000170473,34.62390157527669,0.1945831858790754,0.26852554827509373,0.1921725986712437
25.0,190.64823042120116,1.1830263250739084,1.0052912338680915,48.30139711130404,31.522893967143656,0.20678987286403208,0.04552778186702943,0.05104822724776708
25.0,154.12238262549204,1.3682250937963094,0.9838388369111054,36.54063177761174,31.688372561702394,0.2244635934726476,0.13060797611881547,0.18985745369614251
25.0,196.09482005313072,1.0828625689237201,0.9915655102754765,35.70034464474451,42.67338047610381,0.1412502817010664,0.2731394685519129,0.01488168614036059
25.0,168.0831861494088,1.264959853615697,1.0489699343344405,17.70593178182947,33.281732512348015,0.14714949060929608,0.15758595504006728,0.19961524328591562
25.0,163.84474240546157,1.3051762684202737,1.0355644461298787,40.42567533359332,34.41829318212968,0.05388390898299413,0.1490509073842708,0.13445892197810377
25.0,144.88734555289483,1.3606635687913213,0.9947975875148899,44.08070574496111,32.28412624030503,0.1464254159851356,0.012578639542766572,0.1619148832415113
25.0,133.92136547339447,1.2615828527979072,1.0043549337902986,49.96424844266529,35.794769695237605,0.22595408690364038,0.06569550721476945,0.08382764489336157
25.0,147.65820602260806,1.2931202016874506,1.047669388266771,25.224074512397383,42.22563930630243,0.07753958612043423,0.19863650847786432,0.009902491763768903
25.0,180.583574528339,1.1952157719697902,0.9555403587258299,15.631108845596016,38.5497510149103,0.026679347663319385,0.12633952818549965,0.17662911529407432
25.0,188.3251163746378,1.0638592593980527,1.0008178909553223,22.73304761542788,31.835028929778726,0.2641878045376061,0.2862051829215057,0.02343717655040517
25.0,171.03791630338335,1.3849883982974998,0.9747595215313386,16.17014011428399,41.469855096479236,0.06148527276272688,0.00727729168037683,0.15631137520017177
25.0,155.8630043636404,1.2761936679814956,1.0011090994203458,14.496482924033794,32.77273258625114,0.07047471739101797,0.23304132648220469,0.12810532879307346
25.0,146.36769851378895,1.1396168371816622,1.0381398006572324,32.33096240343009,43.31084292318405,0.2080729583255574,0.16067274030256304,0.14908618007530178
25.0,128.800137740906,1.1509646815665615,0.9727513361115359,11.10523494584749,38.77850750746678,0.09583622242373892,0.06683021017568347,0.02930956233580009
25.0,195.72326081364605,1.3449276277227789,1.024254288412369,11.53614166444413,33.772002093531626,0.12935998062185688,0.1952707154376748,0.06888027956109707
25.0,177.92432624320762,1.1246399660857496,1.0419853306396802,48.94093131379924,34.240393923118,0.23653654083726444,0.2564210053199357,0.05905388407397071
25.0,115.91834790669138,1.2736015694573004,0.979893825221542,12.445581141848848,43.61241648699108,0.01832189786839741,0.20329823033960837,0.09903717735459955
25.0,119.43285448953415,1.122621456738948,1.0314979951684506,41.571936267427844,37.2869074367356,0.12231255494016913,0.24298843004603976,0.15019360201660334
25.0,204.08625337333785,1.206178035690713,0.9656685689513074,41.774620426704885,39.74884938621647,0.16150934082107435,0.07686798217292133,0.18108725370844497
25.0,131.40529766782382,1.0586131255116518,0.9698989806197402,47.16689091293344,42.02225795997378,0.2987383597226926,0.10618570403176775,0.025831318518529895
25.0,135.42987450670836,1.1098588111773062,0.977929269998179,20.926972361069364,39.036334412737716,0.17075997764597964,0.08883560736474669,0.08099547735236445
25.0,146.8401243971732,1.3257199523421415,0.9896720368402868,16.911158966349433,36.143173324041854,0.1840122338110033,0.15425970951721338,0.14115929987658257
25.0,183.51461310224713,1.2692272406832266,1.0024045803225843,44.88325654256498,34.716208611899965,0.08729537502036464,0.28115966113320223,0.17380147887232655
25.0,151.5746892875837,1.1370153878086655,0.950341105301597,22.389091427436707,32.87531516365774,0.11231392375650563,0.21643073542749716,0.08698195106127861
25.0,174.25341297502302,1.2835932596736985,0.9972885980404035,24.54119709064799,39.929337829867784,0.15754960918090344,0.19011429720925727,0.0951933855534707
25.0,139.17316807916094,1.3275041913075538,0.9817563895188921,13.320554336757866,33.99183868050494,0.2796467242164976,0.29051461255981276,0.09618868973582753
25.0,137.8666321455688,1.2991639128485988,0.9858277503665843,48.43508739540375,35.7341732826796,0.06876793284713142,0.12207545184511223,0.04623456457378352
25.0,202.6923245514739,1.379614170817443,1.0194811301445195,19.98085500804017,36.69104266670539,0.26876396654513796,0.167537148292874,0.010353289080620954
25.0,172.46475082368846,1.2968669027931834,1.0252038928154905,31.013202947801496,35.5883022927247,0.25536592601434116,0.26585203197620166,0.1201205876709735
25.0,117.90778270896926,1.1045910695360077,1.0138464744838507,31.75297574283714,39.244521920344525,0.25306178323614464,0.23807024952539327,0.13013057333956413
25.0,189.30759167230525,1.3202081277548792,1.0373197175735693,11.649809890246939,32.011543572102255,0.15065810946774572,0.14035069323250124,0.049206849525878796
25.0,152.73017533058763,1.054241745936603,0.9593489469064815,21.642192751341284,33.68488257846141,0.001619882330465153,0.17160084385947422,0.18635358536168145
25.0,123.59223379018258,1.2895784311837226,1.022792636969238,21.23312738591931,34.05742251991208,0.21724006241514693,0.18436405985343798,0.10001001991565482
25.0,160.69758546867453,1.3105137779895688,1.0347602511577447,37.36190574928417,35.12585313408655,0.14019592365070785,0.018077221306262457,0.06214404756354258
25.0,175.88818697101766,1.390327765204674,1.0156694353829947,17.31164375575249,43.46364563175764,0.10898681747769103,0.03160684826081688,0.1910629416725458
25.0,195.0522847058263,1.0723486332098702,0.9530315835883577,35.46987998392094,33.13066895335483,0.1283450329076426,0.023807894060288732,0.05526930113305076
25.0,120.99489374564452,1.1729053449411435,0.954836507525932,42.254536684379694,39.779915189973785,0.05766838117191596,0.09835084789227196,0.17181939412123143
25.0,186.6744715587824,1.1585410621989087,0.9864354939095156,23.959818113940408,31.468117575411803,0.189370847849079,0.08216617414165744,0.12331821429106614
25.0,170.60597618655356,1.05149377745284,1.0062233365424398,39.59707548029184,39.44680319375398,0.1166290753715197,0.1819674604151638,0.1972566993045115
25.0,117.01075604332978,1.33406364050022,0.9617672102385598,33.89362796285258,43.07845170668877,0.21099873594930704,0.2625204978691438,0.02007902370646293
25.0,166.27477022105407,1.3620127567353995,1.0217917480123895,28.318481402638525,43.69720571249835,0.08596486203824219,0.22037047813821295,0.14227120600976514
25.0,141.65684415486533,1.348057853973549,0.9634950108879297,18.542670031892822,37.17813171899576,0.17863219593350396,0.29356326267776467,0.12654639809928508
25.0,119.79578134421114,1.2798604229728348,0.951893958106246,42.47691582238108,32.72412184457697,0.009962522557681451,0.24974939695834794,0.1379958633001188
25.0,201.86929732306064,1.255691687679481,1.0297860603298092,19.061681555514426,42.893675902556495,0.19958425948196054,0.21599535050745947,0.09087413387476569
25.0,126.92514391583751,1.3079752206990247,1.0390200588218224,12.247628465012882,36.95659818852619,0.2403232216532938,0.12557547421809098,0.02664359382454134
25.0,156.43496619235322,1.0961691952987789,0.9921005650110359,31.398008207407095,33.508520692941026,0.2893392316515283,0.1432213881818993,0.03419955352016871
25.0,161.188674370058,1.2169824473914301,1.040536463199816,23.542136204273106,32.59079684402426,0.24736379222945226,0.08508599678751266,0.038281320873229
25.0,149.7157652474586,1.1709626852260948,0.9603120760709873,37.89275829035421,37.03835974676957,0.12423207482618158,0.05987477675747319,0.07267525224402625
25.0,140.63957464945008,1.1645642767090711,1.0462559298812044,10.365395980388756,35.37827744489832,0.01611939471949285,0.17730011180398966,0.0774452601549393
25.0,190.026708194539,1.3723749083167063,1.0236738007547044,24.17201013833921,41.772825838859845,0.07349839820897844,0.050277344929530905,0.10504833829014644
25.0,115.22954709208646,1.231316316706768,0.9786290618662749,29.87227530359984,41.93695412913408,0.16283242233445464,0.28314047060212816,0.03046689295921209
25.0,185.52080086839356,1.0867933221651365,0.9827749223573172,44.43157990122498,39.29208659983679,0.20247938714472055,0.03446485089860839,0.1105109356308201
25.0,193.58353581985986,1.3566637659408276,0.9751578367217744,16.647772015050677,36.26723116688678,0.006249602691527648,0.07476460426379829,0.19400553971701187
25.0,159.42979251881593,1.3516456798007022,1.0182737744788288,33.33641275442856,38.176593138335996,0.23274944041868117,0.22939320894558649,0.06119670978946621
25.0,163.0363949457237,1.0922876074958439,0.9845833475998402,27.907307444960587,38.68950168169343,0.2308900369141513,0.11606032434421036,0.16909303464746625
25.0,153.00553167078644,1.2388315553528852,1.0106523754704875,45.36850584489662,40.646869458776855,0.08373355164313993,0.009709539409352387,0.15427653874621802
25.0,158.45309961623096,1.118792726708713,0.9933331526624298,30.62552445998326,40.0532585118285,0.03161701575851007,0.2594332904363956,0.18466660598317128
25.0,180.90716044044268,1.1283838995086206,0.9969214456658001,10.564697258486952,33.400111258545714,0.2725314097077992,0.05178511497108871,0.07193350626846354
25.0,204.88617006081026,1.1980547691291226,1.032632467543615,45.748153214248866,31.31846508355795,0.17442789238122902,0.2259735649920135,0.16293042547580946
25.0,130.30228616452297,1.2858341503897759,0.9762384353334305,46.468479725699744,42.303243291912764,0.005618284847925205,0.27734509102666577,0.04457191169955315
25.0,132.67437670848236,1.3385468169165131,0.9580584627012362,15.348332973919096,40.993764334068786,0.28405680956584334,0.2066403705639887,0.1586968009863818
25.0,184.917719310985,1.2390954934191074,0.9902652724176794,29.368252492724544,37.37780296010496,0.1056279537763311,0.22330416349359566,0.040550251904231414
25.0,187.2482304089155,1.395324161806171,0.9668812230555699,32.79745603736359,40.52534882008241,0.28515705139257436,0.04465260368411032,0.17509122110154327
25.0,121.47466880242534,1.331317888415065,1.0284805155118368,13.71396549718514,36.443574486410526,0.18288544563613865,0.10162845309701733,0.13353780167575716
